state,fips,year,pop
Alabama,01,1930,2646248
Alaska,02,1930,59278
Arizona,04,1930,435573
Arkansas,05,1930,1854482
California,06,1930,5677251
Colorado,08,1930,1035791
Connecticut,09,1930,1606903
Delaware,10,1930,238380
District of Columbia,11,1930,486869
Florida,12,1930,1468211
Georgia,13,1930,2908506
Hawaii,15,1930,368300
Idaho,16,1930,445032
Illinois,17,1930,7630654
Indiana,18,1930,3238503
Iowa,19,1930,2470939
Kansas,20,1930,1880999
Kentucky,21,1930,2614589
Louisiana,22,1930,2101593
Maine,23,1930,797423
Maryland,24,1930,1631526
Massachusetts,25,1930,4249614
Michigan,26,1930,4842325
Minnesota,27,1930,2563953
Mississippi,28,1930,2009821
Missouri,29,1930,3629367
Montana,30,1930,537606
Nebraska,31,1930,1377963
Nevada,32,1930,91058
New Hampshire,33,1930,465293
New Jersey,34,1930,4041334
New Mexico,35,1930,423317
New York,36,1930,12588066
North Carolina,37,1930,3170276
North Dakota,38,1930,680845
Ohio,39,1930,6646697
Oklahoma,40,1930,2396040
Oregon,41,1930,953786
Pennsylvania,42,1930,9631350
Rhode Island,44,1930,687497
South Carolina,45,1930,1738765
South Dakota,46,1930,692849
Tennessee,47,1930,2616556
Texas,48,1930,5824715
Utah,49,1930,507847
Vermont,50,1930,359611
Virginia,51,1930,2421851
Washington,53,1930,1563396
West Virginia,54,1930,1729205
Wisconsin,55,1930,2939006
Wyoming,56,1930,225565
