state,fips,year,pop
Alabama,01,1890,1513401
Alaska,02,1890,32052
Arizona,04,1890,88243
Arkansas,05,1890,1128211
California,06,1890,1213398
Colorado,08,1890,413249
Connecticut,09,1890,746258
Delaware,10,1890,168493
District of Columbia,11,1890,230392
Florida,12,1890,391422
Georgia,13,1890,1837353
Hawaii,15,1890,
Idaho,16,1890,88548
Illinois,17,1890,3826352
Indiana,18,1890,2192404
Iowa,19,1890,1912297
Kansas,20,1890,1428108
Kentucky,21,1890,1858635
Louisiana,22,1890,1118588
Maine,23,1890,661086
Maryland,24,1890,1042390
Massachusetts,25,1890,2238947
Michigan,26,1890,2093890
Minnesota,27,1890,1310283
Mississippi,28,1890,1289600
Missouri,29,1890,2679185
Montana,30,1890,142924
Nebraska,31,1890,1062656
Nevada,32,1890,47355
New Hampshire,33,1890,376530
New Jersey,34,1890,1444933
New Mexico,35,1890,160282
New York,36,1890,6003174
North Carolina,37,1890,1617949
North Dakota,38,1890,190983
Ohio,39,1890,3672329
Oklahoma,40,1890,258657
Oregon,41,1890,317704
Pennsylvania,42,1890,5258113
Rhode Island,44,1890,345506
South Carolina,45,1890,1151149
South Dakota,46,1890,348600
Tennessee,47,1890,1767518
Texas,48,1890,2235527
Utah,49,1890,210779
Vermont,50,1890,332422
Virginia,51,1890,1655980
Washington,53,1890,357232
West Virginia,54,1890,762794
Wisconsin,55,1890,1693330
Wyoming,56,1890,62555
