state,fips,year,pop
Alabama,01,1900,1828697
Alaska,02,1900,63592
Arizona,04,1900,122931
Arkansas,05,1900,1311564
California,06,1900,1485053
Colorado,08,1900,539700
Connecticut,09,1900,908420
Delaware,10,1900,184735
District of Columbia,11,1900,278718
Florida,12,1900,528542
Georgia,13,1900,2216331
Hawaii,15,1900,154001
Idaho,16,1900,161772
Illinois,17,1900,4821550
Indiana,18,1900,2516462
Iowa,19,1900,2231853
Kansas,20,1900,1470495
Kentucky,21,1900,2147174
Louisiana,22,1900,1381625
Maine,23,1900,694466
Maryland,24,1900,1188044
Massachusetts,25,1900,2805346
Michigan,26,1900,2420982
Minnesota,27,1900,1751394
Mississippi,28,1900,1551270
Missouri,29,1900,3106665
Montana,30,1900,243329
Nebraska,31,1900,1066300
Nevada,32,1900,42335
New Hampshire,33,1900,411588
New Jersey,34,1900,1883669
New Mexico,35,1900,195310
New York,36,1900,7268894
North Carolina,37,1900,1893810
North Dakota,38,1900,319146
Ohio,39,1900,4157545
Oklahoma,40,1900,790391
Oregon,41,1900,413536
Pennsylvania,42,1900,6302115
Rhode Island,44,1900,428556
South Carolina,45,1900,1340316
South Dakota,46,1900,401570
Tennessee,47,1900,2020616
Texas,48,1900,3048710
Utah,49,1900,276749
Vermont,50,1900,343641
Virginia,51,1900,1854184
Washington,53,1900,518103
West Virginia,54,1900,958800
Wisconsin,55,1900,2069042
Wyoming,56,1900,92531
