state,fips,year,pop
Alabama,01,1970,3444165
Alaska,02,1970,300382
Arizona,04,1970,1770900
Arkansas,05,1970,1923295
California,06,1970,19953134
Colorado,08,1970,2207259
Connecticut,09,1970,3031709
Delaware,10,1970,548104
District of Columbia,11,1970,756510
Florida,12,1970,6789443
Georgia,13,1970,4589575
Hawaii,15,1970,768561
Idaho,16,1970,712567
Illinois,17,1970,11113976
Indiana,18,1970,5193669
Iowa,19,1970,2824376
Kansas,20,1970,2246578
Kentucky,21,1970,3218706
Louisiana,22,1970,3641306
Maine,23,1970,992048
Maryland,24,1970,3922399
Massachusetts,25,1970,5689170
Michigan,26,1970,8875083
Minnesota,27,1970,3804971
Mississippi,28,1970,2216912
Missouri,29,1970,4676501
Montana,30,1970,694409
Nebraska,31,1970,1483493
Nevada,32,1970,488738
New Hampshire,33,1970,737681
New Jersey,34,1970,7168164
New Mexico,35,1970,1016000
New York,36,1970,18236967
North Carolina,37,1970,5082059
North Dakota,38,1970,617761
Ohio,39,1970,10652017
Oklahoma,40,1970,2559229
Oregon,41,1970,2091385
Pennsylvania,42,1970,11793909
Rhode Island,44,1970,946725
South Carolina,45,1970,2590516
South Dakota,46,1970,665507
Tennessee,47,1970,3923687
Texas,48,1970,11196730
Utah,49,1970,1059273
Vermont,50,1970,444330
Virginia,51,1970,4648494
Washington,53,1970,3409169
West Virginia,54,1970,1744237
Wisconsin,55,1970,4417731
Wyoming,56,1970,332416
