state,fips,year,pop
Alabama,01,1840,590756
Alaska,02,1840,
Arizona,04,1840,
Arkansas,05,1840,97574
California,06,1840,
Colorado,08,1840,
Connecticut,09,1840,309978
Delaware,10,1840,78085
District of Columbia,11,1840,33745
Florida,12,1840,54477
Georgia,13,1840,691392
Hawaii,15,1840,
Idaho,16,1840,
Illinois,17,1840,476183
Indiana,18,1840,685866
Iowa,19,1840,43112
Kansas,20,1840,
Kentucky,21,1840,779828
Louisiana,22,1840,352411
Maine,23,1840,501793
Maryland,24,1840,470019
Massachusetts,25,1840,737699
Michigan,26,1840,212267
Minnesota,27,1840,
Mississippi,28,1840,375651
Missouri,29,1840,383702
Montana,30,1840,
Nebraska,31,1840,
Nevada,32,1840,
New Hampshire,33,1840,284574
New Jersey,34,1840,373306
New Mexico,35,1840,
New York,36,1840,2428921
North Carolina,37,1840,753419
North Dakota,38,1840,
Ohio,39,1840,1519467
Oklahoma,40,1840,
Oregon,41,1840,
Pennsylvania,42,1840,1724033
Rhode Island,44,1840,108830
South Carolina,45,1840,594398
South Dakota,46,1840,
Tennessee,47,1840,829210
Texas,48,1840,
Utah,49,1840,
Vermont,50,1840,291948
Virginia,51,1840,1025227
Washington,53,1840,
West Virginia,54,1840,224537
Wisconsin,55,1840,30945
Wyoming,56,1840,
