state,fips,year,pop
Alabama,01,1850,771623
Alaska,02,1850,
Arizona,04,1850,
Arkansas,05,1850,209897
California,06,1850,92597
Colorado,08,1850,
Connecticut,09,1850,370792
Delaware,10,1850,91532
District of Columbia,11,1850,51687
Florida,12,1850,87445
Georgia,13,1850,906185
Hawaii,15,1850,
Idaho,16,1850,
Illinois,17,1850,851470
Indiana,18,1850,988416
Iowa,19,1850,192214
Kansas,20,1850,
Kentucky,21,1850,982405
Louisiana,22,1850,517762
Maine,23,1850,583169
Maryland,24,1850,583034
Massachusetts,25,1850,994514
Michigan,26,1850,397654
Minnesota,27,1850,6077
Mississippi,28,1850,606526
Missouri,29,1850,682044
Montana,30,1850,
Nebraska,31,1850,
Nevada,32,1850,
New Hampshire,33,1850,317976
New Jersey,34,1850,489555
New Mexico,35,1850,61547
New York,36,1850,3097394
North Carolina,37,1850,869039
North Dakota,38,1850,
Ohio,39,1850,1980329
Oklahoma,40,1850,
Oregon,41,1850,12093
Pennsylvania,42,1850,2311786
Rhode Island,44,1850,147545
South Carolina,45,1850,668507
South Dakota,46,1850,
Tennessee,47,1850,1002717
Texas,48,1850,212592
Utah,49,1850,11380
Vermont,50,1850,314120
Virginia,51,1850,1119348
Washington,53,1850,1201
West Virginia,54,1850,302313
Wisconsin,55,1850,305391
Wyoming,56,1850,
