state,fips,year,pop
Alabama,01,1910,2138093
Alaska,02,1910,64356
Arizona,04,1910,204354
Arkansas,05,1910,1574449
California,06,1910,2377549
Colorado,08,1910,799024
Connecticut,09,1910,1114756
Delaware,10,1910,202322
District of Columbia,11,1910,331069
Florida,12,1910,752619
Georgia,13,1910,2609121
Hawaii,15,1910,191874
Idaho,16,1910,325594
Illinois,17,1910,5638591
Indiana,18,1910,2700876
Iowa,19,1910,2224771
Kansas,20,1910,1690949
Kentucky,21,1910,2289905
Louisiana,22,1910,1656388
Maine,23,1910,742371
Maryland,24,1910,1295346
Massachusetts,25,1910,3366416
Michigan,26,1910,2810173
Minnesota,27,1910,2075708
Mississippi,28,1910,1797114
Missouri,29,1910,3293335
Montana,30,1910,376053
Nebraska,31,1910,1192214
Nevada,32,1910,81875
New Hampshire,33,1910,430572
New Jersey,34,1910,2537167
New Mexico,35,1910,327301
New York,36,1910,9113614
North Carolina,37,1910,2206287
North Dakota,38,1910,577056
Ohio,39,1910,4767121
Oklahoma,40,1910,1657155
Oregon,41,1910,672765
Pennsylvania,42,1910,7665111
Rhode Island,44,1910,542610
South Carolina,45,1910,1515400
South Dakota,46,1910,583888
Tennessee,47,1910,2184789
Texas,48,1910,3896542
Utah,49,1910,373351
Vermont,50,1910,355956
Virginia,51,1910,2061612
Washington,53,1910,1141990
West Virginia,54,1910,1221119
Wisconsin,55,1910,2333860
Wyoming,56,1910,145965
