state,fips,year,pop
Alabama,01,1870,996992
Alaska,02,1870,
Arizona,04,1870,9658
Arkansas,05,1870,484471
California,06,1870,560247
Colorado,08,1870,39864
Connecticut,09,1870,537454
Delaware,10,1870,125015
District of Columbia,11,1870,131700
Florida,12,1870,187748
Georgia,13,1870,1184109
Hawaii,15,1870,
Idaho,16,1870,14999
Illinois,17,1870,2539891
Indiana,18,1870,1680637
Iowa,19,1870,1194020
Kansas,20,1870,364399
Kentucky,21,1870,1321011
Louisiana,22,1870,726915
Maine,23,1870,626915
Maryland,24,1870,780894
Massachusetts,25,1870,1457351
Michigan,26,1870,1184059
Minnesota,27,1870,439706
Mississippi,28,1870,827922
Missouri,29,1870,1721295
Montana,30,1870,20595
Nebraska,31,1870,122993
Nevada,32,1870,42941
New Hampshire,33,1870,318300
New Jersey,34,1870,906096
New Mexico,35,1870,91874
New York,36,1870,4382759
North Carolina,37,1870,1071361
North Dakota,38,1870,2405
Ohio,39,1870,2665260
Oklahoma,40,1870,
Oregon,41,1870,90923
Pennsylvania,42,1870,3521951
Rhode Island,44,1870,217353
South Carolina,45,1870,705606
South Dakota,46,1870,11776
Tennessee,47,1870,1258520
Texas,48,1870,818579
Utah,49,1870,86336
Vermont,50,1870,330551
Virginia,51,1870,1225163
Washington,53,1870,23955
West Virginia,54,1870,442014
Wisconsin,55,1870,1054670
Wyoming,56,1870,9118
