state,fips,year,pop
Alabama,01,1790,
Alaska,02,1790,
Arizona,04,1790,
Arkansas,05,1790,
California,06,1790,
Colorado,08,1790,
Connecticut,09,1790,237946
Delaware,10,1790,59096
District of Columbia,11,1790,
Florida,12,1790,
Georgia,13,1790,82548
Hawaii,15,1790,
Idaho,16,1790,
Illinois,17,1790,
Indiana,18,1790,
Iowa,19,1790,
Kansas,20,1790,
Kentucky,21,1790,73677
Louisiana,22,1790,
Maine,23,1790,96540
Maryland,24,1790,319728
Massachusetts,25,1790,378787
Michigan,26,1790,
Minnesota,27,1790,
Mississippi,28,1790,
Missouri,29,1790,
Montana,30,1790,
Nebraska,31,1790,
Nevada,32,1790,
New Hampshire,33,1790,141885
New Jersey,34,1790,184139
New Mexico,35,1790,
New York,36,1790,340120
North Carolina,37,1790,393751
North Dakota,38,1790,
Ohio,39,1790,
Oklahoma,40,1790,
Oregon,41,1790,
Pennsylvania,42,1790,434373
Rhode Island,44,1790,68825
South Carolina,45,1790,249073
South Dakota,46,1790,
Tennessee,47,1790,35691
Texas,48,1790,
Utah,49,1790,
Vermont,50,1790,85425
Virginia,51,1790,691737
Washington,53,1790,
West Virginia,54,1790,55873
Wisconsin,55,1790,
Wyoming,56,1790,
