state,fips,year,pop
Alabama,01,1950,3061743
Alaska,02,1950,128643
Arizona,04,1950,749587
Arkansas,05,1950,1909511
California,06,1950,10586223
Colorado,08,1950,1325089
Connecticut,09,1950,2007280
Delaware,10,1950,318085
District of Columbia,11,1950,802178
Florida,12,1950,2771305
Georgia,13,1950,3444578
Hawaii,15,1950,499794
Idaho,16,1950,588637
Illinois,17,1950,8712176
Indiana,18,1950,3934224
Iowa,19,1950,2621073
Kansas,20,1950,1905299
Kentucky,21,1950,2944806
Louisiana,22,1950,2683516
Maine,23,1950,913774
Maryland,24,1950,2343001
Massachusetts,25,1950,4690514
Michigan,26,1950,6371766
Minnesota,27,1950,2982483
Mississippi,28,1950,2178914
Missouri,29,1950,3954653
Montana,30,1950,591024
Nebraska,31,1950,1325510
Nevada,32,1950,160083
New Hampshire,33,1950,533242
New Jersey,34,1950,4835329
New Mexico,35,1950,681187
New York,36,1950,14830192
North Carolina,37,1950,4061929
North Dakota,38,1950,619636
Ohio,39,1950,7946627
Oklahoma,40,1950,2233351
Oregon,41,1950,1521341
Pennsylvania,42,1950,10498012
Rhode Island,44,1950,791896
South Carolina,45,1950,2117027
South Dakota,46,1950,652740
Tennessee,47,1950,3291718
Texas,48,1950,7711194
Utah,49,1950,688862
Vermont,50,1950,377747
Virginia,51,1950,3318680
Washington,53,1950,2378963
West Virginia,54,1950,2005552
Wisconsin,55,1950,3434575
Wyoming,56,1950,290529
