state,fips,year,pop
Alabama,01,1920,2348174
Alaska,02,1920,55036
Arizona,04,1920,334162
Arkansas,05,1920,1752204
California,06,1920,3426861
Colorado,08,1920,939629
Connecticut,09,1920,1380631
Delaware,10,1920,223003
District of Columbia,11,1920,437571
Florida,12,1920,968470
Georgia,13,1920,2895832
Hawaii,15,1920,255881
Idaho,16,1920,431866
Illinois,17,1920,6485280
Indiana,18,1920,2930390
Iowa,19,1920,2404021
Kansas,20,1920,1769257
Kentucky,21,1920,2416630
Louisiana,22,1920,1798509
Maine,23,1920,768014
Maryland,24,1920,1449661
Massachusetts,25,1920,3852356
Michigan,26,1920,3668412
Minnesota,27,1920,2387125
Mississippi,28,1920,1790618
Missouri,29,1920,3404055
Montana,30,1920,548889
Nebraska,31,1920,1296372
Nevada,32,1920,77407
New Hampshire,33,1920,443083
New Jersey,34,1920,3155900
New Mexico,35,1920,360350
New York,36,1920,10385227
North Carolina,37,1920,2559123
North Dakota,38,1920,646872
Ohio,39,1920,5759394
Oklahoma,40,1920,2028283
Oregon,41,1920,783389
Pennsylvania,42,1920,8720017
Rhode Island,44,1920,604397
South Carolina,45,1920,1683724
South Dakota,46,1920,636547
Tennessee,47,1920,2337885
Texas,48,1920,4663228
Utah,49,1920,449396
Vermont,50,1920,352428
Virginia,51,1920,2309187
Washington,53,1920,1356621
West Virginia,54,1920,1463701
Wisconsin,55,1920,2632067
Wyoming,56,1920,194402
