state,fips,year,pop
Alabama,01,1810,9046
Alaska,02,1810,
Arizona,04,1810,
Arkansas,05,1810,1062
California,06,1810,
Colorado,08,1810,
Connecticut,09,1810,261942
Delaware,10,1810,72674
District of Columbia,11,1810,15471
Florida,12,1810,
Georgia,13,1810,251407
Hawaii,15,1810,
Idaho,16,1810,
Illinois,17,1810,12282
Indiana,18,1810,24520
Iowa,19,1810,
Kansas,20,1810,
Kentucky,21,1810,406511
Louisiana,22,1810,76556
Maine,23,1810,228705
Maryland,24,1810,380546
Massachusetts,25,1810,472040
Michigan,26,1810,4762
Minnesota,27,1810,
Mississippi,28,1810,31306
Missouri,29,1810,19783
Montana,30,1810,
Nebraska,31,1810,
Nevada,32,1810,
New Hampshire,33,1810,214460
New Jersey,34,1810,245562
New Mexico,35,1810,
New York,36,1810,959049
North Carolina,37,1810,556526
North Dakota,38,1810,
Ohio,39,1810,230760
Oklahoma,40,1810,
Oregon,41,1810,
Pennsylvania,42,1810,810091
Rhode Island,44,1810,76931
South Carolina,45,1810,415115
South Dakota,46,1810,
Tennessee,47,1810,261727
Texas,48,1810,
Utah,49,1810,
Vermont,50,1810,217895
Virginia,51,1810,877683
Washington,53,1810,
West Virginia,54,1810,105469
Wisconsin,55,1810,
Wyoming,56,1810,
