state,fips,year,pop
Alabama,01,1940,2832961
Alaska,02,1940,72524
Arizona,04,1940,499261
Arkansas,05,1940,1949387
California,06,1940,6907387
Colorado,08,1940,1123296
Connecticut,09,1940,1709242
Delaware,10,1940,266505
District of Columbia,11,1940,663091
Florida,12,1940,1897414
Georgia,13,1940,3123723
Hawaii,15,1940,422770
Idaho,16,1940,524873
Illinois,17,1940,7897241
Indiana,18,1940,3427796
Iowa,19,1940,2538268
Kansas,20,1940,1801028
Kentucky,21,1940,2845627
Louisiana,22,1940,2363880
Maine,23,1940,847226
Maryland,24,1940,1821244
Massachusetts,25,1940,4316721
Michigan,26,1940,5256106
Minnesota,27,1940,2792300
Mississippi,28,1940,2183796
Missouri,29,1940,3784664
Montana,30,1940,559456
Nebraska,31,1940,1315834
Nevada,32,1940,110247
New Hampshire,33,1940,491524
New Jersey,34,1940,4160165
New Mexico,35,1940,531818
New York,36,1940,13479142
North Carolina,37,1940,3571623
North Dakota,38,1940,641935
Ohio,39,1940,6907612
Oklahoma,40,1940,2336434
Oregon,41,1940,1089684
Pennsylvania,42,1940,9900180
Rhode Island,44,1940,713346
South Carolina,45,1940,1899804
South Dakota,46,1940,642961
Tennessee,47,1940,2915841
Texas,48,1940,6414824
Utah,49,1940,550310
Vermont,50,1940,359231
Virginia,51,1940,2677773
Washington,53,1940,1736191
West Virginia,54,1940,1901974
Wisconsin,55,1940,3137587
Wyoming,56,1940,250742
