state,fips,year,pop
Alabama,01,1980,3893888
Alaska,02,1980,401851
Arizona,04,1980,2718215
Arkansas,05,1980,2286435
California,06,1980,23667902
Colorado,08,1980,2889964
Connecticut,09,1980,3107576
Delaware,10,1980,594338
District of Columbia,11,1980,638333
Florida,12,1980,9746324
Georgia,13,1980,5463105
Hawaii,15,1980,964691
Idaho,16,1980,943935
Illinois,17,1980,11426518
Indiana,18,1980,5490224
Iowa,19,1980,2913808
Kansas,20,1980,2363679
Kentucky,21,1980,3660777
Louisiana,22,1980,4205900
Maine,23,1980,1124660
Maryland,24,1980,4216975
Massachusetts,25,1980,5737037
Michigan,26,1980,9262078
Minnesota,27,1980,4075970
Mississippi,28,1980,2520638
Missouri,29,1980,4916686
Montana,30,1980,786690
Nebraska,31,1980,1569825
Nevada,32,1980,800493
New Hampshire,33,1980,920610
New Jersey,34,1980,7364823
New Mexico,35,1980,1302894
New York,36,1980,17558072
North Carolina,37,1980,5881766
North Dakota,38,1980,652717
Ohio,39,1980,10797630
Oklahoma,40,1980,3025290
Oregon,41,1980,2633105
Pennsylvania,42,1980,11863895
Rhode Island,44,1980,947154
South Carolina,45,1980,3121820
South Dakota,46,1980,690768
Tennessee,47,1980,4591120
Texas,48,1980,14229191
Utah,49,1980,1461037
Vermont,50,1980,511456
Virginia,51,1980,5346818
Washington,53,1980,4132156
West Virginia,54,1980,1949644
Wisconsin,55,1980,4705767
Wyoming,56,1980,469557
