state,fips,year,pop
Alabama,01,1830,309527
Alaska,02,1830,
Arizona,04,1830,
Arkansas,05,1830,30388
California,06,1830,
Colorado,08,1830,
Connecticut,09,1830,297675
Delaware,10,1830,76748
District of Columbia,11,1830,30261
Florida,12,1830,34730
Georgia,13,1830,516823
Hawaii,15,1830,
Idaho,16,1830,
Illinois,17,1830,157445
Indiana,18,1830,343031
Iowa,19,1830,
Kansas,20,1830,
Kentucky,21,1830,687917
Louisiana,22,1830,215739
Maine,23,1830,399455
Maryland,24,1830,447040
Massachusetts,25,1830,610408
Michigan,26,1830,28004
Minnesota,27,1830,
Mississippi,28,1830,136621
Missouri,29,1830,140455
Montana,30,1830,
Nebraska,31,1830,
Nevada,32,1830,
New Hampshire,33,1830,269328
New Jersey,34,1830,320823
New Mexico,35,1830,
New York,36,1830,1918608
North Carolina,37,1830,737987
North Dakota,38,1830,
Ohio,39,1830,937903
Oklahoma,40,1830,
Oregon,41,1830,
Pennsylvania,42,1830,1348233
Rhode Island,44,1830,97199
South Carolina,45,1830,581185
South Dakota,46,1830,
Tennessee,47,1830,681904
Texas,48,1830,
Utah,49,1830,
Vermont,50,1830,280652
Virginia,51,1830,1044054
Washington,53,1830,
West Virginia,54,1830,176924
Wisconsin,55,1830,3635
Wyoming,56,1830,
