state,fips,year,pop
Alabama,01,1880,1262505
Alaska,02,1880,33426
Arizona,04,1880,40440
Arkansas,05,1880,802525
California,06,1880,864694
Colorado,08,1880,194327
Connecticut,09,1880,622700
Delaware,10,1880,146608
District of Columbia,11,1880,177624
Florida,12,1880,269493
Georgia,13,1880,1542180
Hawaii,15,1880,
Idaho,16,1880,32610
Illinois,17,1880,3077871
Indiana,18,1880,1978301
Iowa,19,1880,1624615
Kansas,20,1880,996096
Kentucky,21,1880,1648690
Louisiana,22,1880,939946
Maine,23,1880,648936
Maryland,24,1880,934943
Massachusetts,25,1880,1783085
Michigan,26,1880,1636937
Minnesota,27,1880,780773
Mississippi,28,1880,1131597
Missouri,29,1880,2168380
Montana,30,1880,39159
Nebraska,31,1880,452402
Nevada,32,1880,62266
New Hampshire,33,1880,346991
New Jersey,34,1880,1131116
New Mexico,35,1880,119565
New York,36,1880,5082871
North Carolina,37,1880,1399750
North Dakota,38,1880,36909
Ohio,39,1880,3198062
Oklahoma,40,1880,
Oregon,41,1880,174768
Pennsylvania,42,1880,4282891
Rhode Island,44,1880,276531
South Carolina,45,1880,995577
South Dakota,46,1880,98268
Tennessee,47,1880,1542359
Texas,48,1880,1591749
Utah,49,1880,143963
Vermont,50,1880,332286
Virginia,51,1880,1512565
Washington,53,1880,75116
West Virginia,54,1880,618457
Wisconsin,55,1880,1315497
Wyoming,56,1880,20789
